Date,USD,Date.1,EUR,Date.2,GBP
12/01/2003 23:58:00,6.107,12/01/2003 23:58:00,7.3045827,12/01/2003 23:58:00,10.4942688
12/02/2003 23:58:00,6.0749,12/02/2003 23:58:00,7.34090916,12/02/2003 23:58:00,10.50532457
12/03/2003 23:58:00,6.1057,12/03/2003 23:58:00,7.39888726,12/03/2003 23:58:00,10.54515447
12/04/2003 23:58:00,6.1161,12/04/2003 23:58:00,7.38457914,12/04/2003 23:58:00,10.519692
12/05/2003 23:58:00,6.1088,12/05/2003 23:58:00,7.44174016,12/05/2003 23:58:00,10.5804416
12/08/2003 23:58:00,6.1221,12/08/2003 23:58:00,7.47875736,12/08/2003 23:58:00,10.61021151
12/09/2003 23:58:00,6.109,12/09/2003 23:58:00,7.4804705,12/09/2003 23:58:00,10.660205
12/10/2003 23:58:00,6.1394,12/10/2003 23:58:00,7.48270072,12/10/2003 23:58:00,10.67764448
12/11/2003 23:58:00,6.0898,12/11/2003 23:58:00,7.4417356,12/11/2003 23:58:00,10.63035488
12/12/2003 23:58:00,6.1209,12/12/2003 23:58:00,7.51401684,12/12/2003 23:58:00,10.68892767
12/15/2003 23:58:00,6.0973,12/15/2003 23:58:00,7.5057763,12/15/2003 23:58:00,10.64710526
12/16/2003 23:58:00,6.1417,12/16/2003 23:58:00,7.56780274,12/16/2003 23:58:00,10.77131346
12/17/2003 23:58:00,6.1221,12/17/2003 23:58:00,7.59017958,12/17/2003 23:58:00,10.80428208
12/18/2003 23:58:00,6.0957,12/18/2003 23:58:00,7.57024983,12/18/2003 23:58:00,10.79304642
12/19/2003 23:58:00,6.1178,12/19/2003 23:58:00,7.57322462,12/19/2003 23:58:00,10.79302276
12/22/2003 23:58:00,6.1302,12/22/2003 23:58:00,7.5983829,12/22/2003 23:58:00,10.80876864
12/23/2003 23:58:00,6.122,12/23/2003 23:58:00,7.5894434,12/23/2003 23:58:00,10.7967592
12/24/2003 23:58:00,6.094,12/24/2003 23:58:00,7.5864206,12/24/2003 23:58:00,10.8131936
12/25/2003 23:58:00,6.0991,12/25/2003 23:58:00,7.59032995,12/25/2003 23:58:00,10.82102322
12/26/2003 23:58:00,6.1075,12/26/2003 23:58:00,7.585515,12/26/2003 23:58:00,10.8163825
12/29/2003 23:58:00,6.1361,12/29/2003 23:58:00,7.65846641,12/29/2003 23:58:00,10.88298696
12/30/2003 23:58:00,6.1059,12/30/2003 23:58:00,7.66107273,12/30/2003 23:58:00,10.85323725
12/31/2003 23:58:00,5.9619,12/31/2003 23:58:00,7.50364734,12/31/2003 23:58:00,10.66106958
01/01/2004 23:58:00,5.9738,01/01/2004 23:58:00,7.51265088,01/01/2004 23:58:00,10.66144086
01/02/2004 23:58:00,6.1391,01/02/2004 23:58:00,7.72851299,01/02/2004 23:58:00,11.00679239
01/05/2004 23:58:00,6.1143,01/05/2004 23:58:00,7.75537812,01/05/2004 23:58:00,11.04548295
01/06/2004 23:58:00,6.1518,01/06/2004 23:58:00,7.82262888,01/06/2004 23:58:00,11.19812154
01/07/2004 23:58:00,6.1365,01/07/2004 23:58:00,7.75469505,01/07/2004 23:58:00,11.1524751
01/08/2004 23:58:00,6.1428,01/08/2004 23:58:00,7.8443556,01/08/2004 23:58:00,11.2628238
01/09/2004 23:58:00,6.1424,01/09/2004 23:58:00,7.8714856,01/09/2004 23:58:00,11.3450128
01/12/2004 23:58:00,6.1549,01/12/2004 23:58:00,7.83888064,01/12/2004 23:58:00,11.35702148
01/13/2004 23:58:00,6.095,01/13/2004 23:58:00,7.791848,01/13/2004 23:58:00,11.2653885
01/14/2004 23:58:00,6.1559,01/14/2004 23:58:00,7.78844468,01/14/2004 23:58:00,11.28068675
